from,to,source_essential,target_essential,edge_type
Phosphodiesterase,rluB,n,n,N-N
SPD_1653,rluB,n,n,N-N
SPD_1517,SPD_1516,n,n,N-N
spr1559,spr1558,n,n,N-N
spr1559,spr1560,n,n,N-N
spr1558,spr1560,n,n,N-N
spr1548,spr1549,n,n,N-N
spr1547,spr1549,n,n,N-N
spr1546,spr1549,n,n,N-N
spr1558,spr1549,n,n,N-N
spr1560,spr1549,n,n,N-N
spr1041,spr1545,n,n,N-N
spr1558,spr1545,n,n,N-N
spr1560,spr1545,n,n,N-N
spr1549,spr1545,n,n,N-N
SPD_1727,SPD_1729,n,n,N-N
SPD_1728,SPD_1729,n,n,N-N
SPD_1503,SPD_1502,y,n,E-N
SPD_1503,SPD_1498,y,n,E-N
SPD_1502,SPD_1498,n,n,N-N
SPD_1490,SPD_1492,n,n,N-N
SPD_1473,ylmG,n,n,N-N
SPD_1473,ylmH,n,n,N-N
ylmG,ylmH,n,n,N-N
ylmG,SP_1660,n,n,N-N
ylmH,SP_1660,n,n,N-N
SPD_1988,SPD_1467,n,n,N-N
marR,spr1481,n,n,N-N
zmpA,SP_0462,n,n,N-N
SP_0468,SP_0462,n,n,N-N
SP_0463,SP_0462,n,n,N-N
spr1470,spr1471,n,n,N-N
spr1457,fer,n,n,N-N
spr0489,fer,n,n,N-N
SPD_1426,SPD_1425,n,n,N-N
SPD_1503,SPD_1501,y,n,E-N
SPD_1502,SPD_1501,n,n,N-N
SPD_1498,SPD_1501,n,n,N-N
SPD_1494,SPD_1493,n,n,N-N
SPD_1501,SPD_1493,n,n,N-N
SPD_1502,SPD_1500,n,n,N-N
SPD_1498,SPD_1500,n,n,N-N
SPD_1501,SPD_1500,n,n,N-N
SPD_1494,SPD_1583,n,n,N-N
SPD_1501,SPD_1583,n,n,N-N
malA,malD,n,n,N-N
spr1619,malD,n,n,N-N
SPD_1494,malD,n,n,N-N
SPD_1395,whiA,n,n,N-N
SP_1561,SP_1562,n,n,N-N
SP_1560,SP_1562,n,n,N-N
cca,SPD_1385,y,n,E-N
def-2,SPD_1380,n,n,N-N
SP_1410,ccs4,n,n,N-N
SP_0201,ccs4,n,n,N-N
spr1623,spr1404,n,n,N-N
SPD_1591,SPD_1589,n,n,N-N
SPD_1591,SPD_1588,n,n,N-N
SPD_1589,SPD_1588,n,n,N-N
SPD_1588,SPD_1377,n,n,N-N
spr1400,aspB,n,n,N-N
SPD_1374,SPD_1372,y,n,E-N
SPD_1366,SPD_1365,n,n,N-N
SPD_1365,ppaC,n,y,N-E
SPD_1323,SPD_1322,n,n,N-N
SPD_1283,SPD_1282,n,n,N-N
SPD_1283,SPD_1281,n,n,N-N
SPD_1282,SPD_1281,n,n,N-N
SPD_1282,SPD_1280,n,n,N-N
SPD_1281,SPD_1280,n,n,N-N
SPD_1282,SPD_1279,n,n,N-N
SPD_1281,SPD_1279,n,n,N-N
SPD_1280,SPD_1279,n,n,N-N
SPD_1279,SPD_1277,n,n,N-N
SPD_1277,SPD_1276,n,n,N-N
Phosphodiesterase,SPD_1658,n,n,N-N
SPD_1653,SPD_1658,n,n,N-N
rluB,SPD_1658,n,n,N-N
SPD_1451,SPD_1450,n,n,N-N
SPD_1928,SPD_1927,n,n,N-N
SPD_1450,SPD_1384,n,y,N-E
SPD_1927,SPD_1384,n,y,N-E
SPD_1638,SPD_1384,n,y,N-E
SPD_1267,SPD_1265,n,n,N-N
SPD_1435,SPD_1434,y,n,E-N
SPD_1947,SPD_1253,n,n,N-N
queF,tgt,y,n,E-N
tgt,queA,n,n,N-N
spr1261,spr1259,n,n,N-N
spxA,spr1259,n,n,N-N
hpf,spr1259,n,n,N-N
spr2014,spr1259,n,n,N-N
spr0459,spr1259,n,n,N-N
spr0460,spr1259,n,n,N-N
spr1357,spr1259,n,n,N-N
spr1260,spr1259,n,n,N-N
spr1259,spr1258,n,n,N-N
SPD_1611,SPD_1614,n,n,N-N
phoU,pstC,n,n,N-N
phoU,pstS,n,n,N-N
pstC,pstS,n,n,N-N
phoU,pstA,n,n,N-N
pstC,pstA,n,n,N-N
pstS,pstA,n,n,N-N
SPD_1614,pstB,n,n,N-N
phoU,pstB,n,n,N-N
pstC,pstB,n,n,N-N
pstS,pstB,n,n,N-N
pstA,pstB,n,n,N-N
phoU,SPD_1231,n,n,N-N
pstC,SPD_1231,n,n,N-N
pstS,SPD_1231,n,n,N-N
pstA,SPD_1231,n,n,N-N
pstB,SPD_1231,n,n,N-N
phoU,SPD_1232,n,n,N-N
pstC,SPD_1232,n,n,N-N
pstS,SPD_1232,n,n,N-N
pstA,SPD_1232,n,n,N-N
pstB,SPD_1232,n,n,N-N
SPD_1231,SPD_1232,n,n,N-N
phoU,SPD_1230,n,n,N-N
pstC,SPD_1230,n,n,N-N
pstS,SPD_1230,n,n,N-N
pstA,SPD_1230,n,n,N-N
pstB,SPD_1230,n,n,N-N
SPD_1231,SPD_1230,n,n,N-N
SPD_1232,SPD_1230,n,n,N-N
SPD_1614,SPD_1229,n,n,N-N
phoU,SPD_1229,n,n,N-N
pstC,SPD_1229,n,n,N-N
pstS,SPD_1229,n,n,N-N
pstA,SPD_1229,n,n,N-N
pstB,SPD_1229,n,n,N-N
SPD_1231,SPD_1229,n,n,N-N
SPD_1232,SPD_1229,n,n,N-N
SPD_1230,SPD_1229,n,n,N-N
SPD_1614,SPD_1228,n,n,N-N
phoU,SPD_1228,n,n,N-N
pstC,SPD_1228,n,n,N-N
pstS,SPD_1228,n,n,N-N
pstA,SPD_1228,n,n,N-N
pstB,SPD_1228,n,n,N-N
SPD_1231,SPD_1228,n,n,N-N
SPD_1232,SPD_1228,n,n,N-N
SPD_1230,SPD_1228,n,n,N-N
SPD_1229,SPD_1228,n,n,N-N
pstS,SPD_1227,n,n,N-N
pstA,SPD_1227,n,n,N-N
pstB,SPD_1227,n,n,N-N
SPD_1231,SPD_1227,n,n,N-N
SPD_1232,SPD_1227,n,n,N-N
SPD_1230,SPD_1227,n,n,N-N
SPD_1229,SPD_1227,n,n,N-N
SPD_1228,SPD_1227,n,n,N-N
potA,potC,n,n,N-N
potA,potD,n,n,N-N
potC,potD,n,n,N-N
SPD_1510,SPD_1511,n,n,N-N
SPD_1561,SPD_1560,n,y,N-E
SPD_1556,SPD_1560,n,y,N-E
SPD_1206,aroD,n,n,N-N
aroA,psr,n,n,N-N
SPD_1192,SPD_1191,n,n,N-N
pfs,trzA,n,n,N-N
SPD_1294,Hemolysin,n,n,N-N
SPD_1490,SPD_1495,n,n,N-N
SPD_1492,SPD_1495,n,n,N-N
SPD_1494,SPD_1495,n,n,N-N
SPD_1493,SPD_1495,n,n,N-N
appA,appB,n,n,N-N
appA,appC,n,n,N-N
appB,appC,n,n,N-N
treP,spr1190,n,n,N-N
ptsG,spr1190,n,n,N-N
scrA,spr1190,n,n,N-N
spr0505,spr1190,n,n,N-N
appB,spr1190,n,n,N-N
appC,spr1190,n,n,N-N
appA,appD,n,n,N-N
appB,appD,n,n,N-N
appC,appD,n,n,N-N
spr1190,appD,n,n,N-N
appB,spr1189,n,n,N-N
appC,spr1189,n,n,N-N
spr1190,spr1189,n,n,N-N
appD,spr1189,n,n,N-N
AAK99990.1,Cdd,n,n,N-N
but,Cdd,n,n,N-N
cdd,Cdd,n,n,N-N
udK,Cdd,n,n,N-N
spr0186,Cdd,n,n,N-N
SP_1680,SP_1676,n,n,N-N
nanE-1,nanE-2,n,n,N-N
nanE-1,SPD_1488,n,n,N-N
nanE-2,SPD_1488,n,n,N-N
SPD_1492,SPD_1489,n,n,N-N
nanE-1,SPD_1489,n,n,N-N
nanE-2,SPD_1489,n,n,N-N
SPD_1488,SPD_1489,n,n,N-N
nanE-1,SPD_1163,n,n,N-N
nanE-2,SPD_1163,n,n,N-N
SPD_1488,SPD_1163,n,n,N-N
SPD_1489,SPD_1163,n,n,N-N
SPD_1489,SPD_1162,n,n,N-N
SPD_1163,SPD_1162,n,n,N-N
spr1182,spr1183,n,n,N-N
hexA,spr1178,n,n,N-N
spr1178,spr1179,n,n,N-N
SPD_1206,tyrA,n,n,N-N
aroD,tyrA,n,n,N-N
aroA,tyrA,n,n,N-N
lemA,htpX,n,n,N-N
SPD_1197,SPD_1199,n,n,N-N
spr1057,spr1137,n,n,N-N
spr1461,spr1137,n,n,N-N
spr1138,spr1137,n,n,N-N
MutT,spr1136,n,n,N-N
spr1057,spr1136,n,n,N-N
spr1461,spr1136,n,n,N-N
spr1138,spr1136,n,n,N-N
spr1137,spr1136,n,n,N-N
spr1137,spr1133,n,n,N-N
spr1136,spr1133,n,n,N-N
spr1138,spr1134,n,n,N-N
spr1137,spr1134,n,n,N-N
spr1136,spr1134,n,n,N-N
spr1133,spr1134,n,n,N-N
Phosphodiesterase,scpB,n,n,N-N
SPD_1653,scpB,n,n,N-N
rluB,scpB,n,n,N-N
SPD_1658,scpB,n,n,N-N
Phosphodiesterase,scpA,n,n,N-N
SPD_1653,scpA,n,n,N-N
rluB,scpA,n,n,N-N
SPD_1658,scpA,n,n,N-N
scpB,scpA,n,n,N-N
SPD_1102,SPD_1103,n,n,N-N
scpB,smc,n,y,N-E
scpA,smc,n,y,N-E
SPD_1102,smc,n,y,N-E
SPD_1103,smc,n,y,N-E
SPD_1093,SPD_1091,n,n,N-N
glyQ,glyS,y,n,E-N
rlmH,vicX,n,n,N-N
vicX,SPD_1082,n,n,N-N
vicX,SPD_1081,n,n,N-N
SPD_1082,SPD_1081,n,n,N-N
SPD_1835,SPD_1837,n,n,N-N
SPD_1836,SPD_1837,n,n,N-N
SPD_1082,SPD_1080,n,n,N-N
SPD_1081,SPD_1080,n,n,N-N
SPD_1260,SPD_1080,n,n,N-N
fsa,recP-1,n,n,N-N
SP_1616,recP-1,n,n,N-N
tpi,recP-1,n,n,N-N
prsA-2,recP-1,n,n,N-N
prsA-1,recP-1,n,n,N-N
pfk,recP-1,n,n,N-N
spr0033,spr1095,n,n,N-N
spr1096,spr1095,n,n,N-N
SPD_1071,SPD_1072,n,n,N-N
xseB,SPD_1061,n,n,N-N
SP_0645,SP_1198,n,y,N-E
SP_1199,SP_1198,n,y,N-E
SP_0647,SP_1198,n,y,N-E
SP_0646,SP_1198,n,y,N-E
SP_1197,SP_1198,n,y,N-E
spr1183,spr1080,n,n,N-N
spr1081,spr1079,n,n,N-N
spr1080,spr1079,n,n,N-N
SP_0443,SP_1173,n,n,N-N
Phosphodiesterase,SPD_1657,n,n,N-N
SPD_1653,SPD_1657,n,n,N-N
rluB,SPD_1657,n,n,N-N
SPD_1658,SPD_1657,n,n,N-N
scpB,SPD_1657,n,n,N-N
scpA,SPD_1657,n,n,N-N
SPD_1657,SPD_1033,n,n,N-N
SPD_1382,SPD_1383,y,y,E-E
SPD_1000,SPD_0999,n,n,N-N
SPD_1097,SPD_1864,n,n,N-N
SPD_1720,SPD_1719,n,n,N-N
SPD_1719,nadK,n,y,N-E
SPD_0984,nadK,n,y,N-E
SPD_0984,SPD_0981,n,n,N-N
nadK,SPD_0981,y,n,E-N
rex,SPD_0974,n,n,N-N
spr1744,spr1745,n,n,N-N
spr0842,spr1745,n,n,N-N
spr1946,spr1745,n,n,N-N
spr1079,spr1745,n,n,N-N
spr0842,spr1197,n,n,N-N
spr1946,spr1197,n,n,N-N
spr1079,spr1197,n,n,N-N
spr1946,spr0039,n,n,N-N
spr1079,spr0039,n,n,N-N
spr1574,spr1573,n,n,N-N
spr1572,spr1573,n,n,N-N
spr0842,spr1573,n,n,N-N
spr1946,spr1573,n,n,N-N
spr1079,spr1573,n,n,N-N
spr1946,spr1947,n,n,N-N
spr1079,spr1947,n,n,N-N
spr1946,spr1891,n,n,N-N
spr1079,spr1891,n,n,N-N
spr1081,spr1078,n,n,N-N
spr0842,spr1078,n,n,N-N
spr1946,spr1078,n,n,N-N
spr1080,spr1078,n,n,N-N
spr1079,spr1078,n,n,N-N
spr1946,spr0994,n,n,N-N
spr1079,spr0994,n,n,N-N
spr1745,spr0993,n,n,N-N
spr1197,spr0993,n,n,N-N
spr0039,spr0993,n,n,N-N
spr1573,spr0993,n,n,N-N
spr1947,spr0993,n,n,N-N
spr1891,spr0993,n,n,N-N
spr1078,spr0993,n,n,N-N
spr0994,spr0993,n,n,N-N
SPD_1400,engB,n,y,N-E
SPD_1395,engB,n,y,N-E
whiA,engB,n,y,N-E
SPD_1561,SPD_1559,n,y,N-E
SPD_1558,SPD_1559,y,y,E-E
SPD_1560,SPD_1559,y,y,E-E
engB,SPD_1559,y,y,E-E
SPD_0962,SPD_0961,n,y,N-E
SPD_1095,SPD_1094,n,n,N-N
spr1560,cpoA,n,n,N-N
SPD_0962,cpoA,n,n,N-N
SPD_0961,cpoA,y,n,E-N
nanE1,spr1195,n,n,N-N
appA,spr1195,n,n,N-N
SPD_2006,dltD,n,n,N-N
SPD_2006,dltB,n,n,N-N
dltD,dltB,n,n,N-N
spr0968,spr0964,n,n,N-N
spr0968,spr0970,n,n,N-N
spr0968,nikS,n,n,N-N
spr0964,nikS,n,n,N-N
spr0970,nikS,n,n,N-N
adhE,spr0966,n,n,N-N
spr0968,spr0966,n,n,N-N
spr0964,spr0966,n,n,N-N
spr0970,spr0966,n,n,N-N
nikS,spr0966,n,n,N-N
spr0964,spr0963,n,n,N-N
spr0966,spr0963,n,n,N-N
spr0968,spr0965,n,y,N-E
spr0964,spr0965,n,y,N-E
spr0970,spr0965,n,y,N-E
nikS,spr0965,n,y,N-E
spr0966,spr0965,n,y,N-E
spr0963,spr0965,n,y,N-E
spr0964,spr0962,n,n,N-N
spr0970,spr0962,n,n,N-N
nikS,spr0962,n,n,N-N
spr0966,spr0962,n,n,N-N
spr0963,spr0962,n,n,N-N
spr0965,spr0962,y,n,E-N
spr0968,rffD,n,n,N-N
spr0964,rffD,n,n,N-N
spr0970,rffD,n,n,N-N
nikS,rffD,n,n,N-N
spr0966,rffD,n,n,N-N
spr0963,rffD,n,n,N-N
spr0965,rffD,y,n,E-N
spr0962,rffD,n,n,N-N
SPD_0938,SPD_0934,n,n,N-N
SPD_0932,SPD_0933,n,n,N-N
SPD_0938,SPD_0931,n,n,N-N
SPD_0934,SPD_0931,n,n,N-N
SPD_0932,SPD_0931,n,n,N-N
SPD_0933,SPD_0931,n,n,N-N
SPD_0938,SPD_0930,n,n,N-N
SPD_0934,SPD_0930,n,n,N-N
SPD_0932,SPD_0930,n,n,N-N
SPD_0933,SPD_0930,n,n,N-N
SPD_0931,SPD_0930,n,n,N-N
malA,malC,n,n,N-N
malD,malC,n,n,N-N
SPD_1267,SPD_1264,n,n,N-N
SPD_1265,SPD_1264,n,n,N-N
SPD_1267,SPD_1263,n,n,N-N
SPD_1265,SPD_1263,n,n,N-N
SPD_1264,SPD_1263,n,n,N-N
SPD_0921,SPD_0920,n,n,N-N
SPD_1267,SPD_1262,n,n,N-N
SPD_1265,SPD_1262,n,n,N-N
SPD_1264,SPD_1262,n,n,N-N
SPD_1263,SPD_1262,n,n,N-N
SPD_1264,SPD_0919,n,n,N-N
SPD_1263,SPD_0919,n,n,N-N
SPD_0920,SPD_0919,n,n,N-N
SPD_1262,SPD_0919,n,n,N-N
pvaA,SPD_0909,n,n,N-N
psaA,cbpA,n,n,N-N
crcB2,crcB1,n,n,N-N
SPD_1108,Endonuclease,n,n,N-N
SPD_1080,Endonuclease,n,n,N-N
SPD_0872,SPD_0871,n,n,N-N
SPD_0872,SPD_0870,n,n,N-N
SPD_0871,SPD_0870,n,n,N-N
SPD_1575,SPD_1574,n,n,N-N
nth,SPD_1136,n,y,N-E
glyS,mutY,n,n,N-N
SPD_1438,tehB,n,n,N-N
tehB,pmrA,n,n,N-N
mutY,mutM,n,n,N-N
pmrA,mutM,n,n,N-N
tehB,era,n,n,N-N
pmrA,era,n,n,N-N
mutM,era,n,n,N-N
sdaB,lguL,n,n,N-N
sdaA,lguL,n,n,N-N
spr1490,lguL,n,n,N-N
spr1855,cglB,n,n,N-N
pilD,cglB,n,n,N-N
spr1865,cglB,n,n,N-N
spr1859,cglB,n,n,N-N
cglD,cglB,n,n,N-N
SPD_1859,cglB,n,n,N-N
SPD_1857,cglB,n,n,N-N
SPD_1593,cglB,n,n,N-N
SPD_1837,SPD_1079,n,n,N-N
SPD_1080,SPD_1079,n,n,N-N
SPD_1555,rsfS,n,n,N-N
SPD_1558,rsfS,y,n,E-N
SPD_1556,rsfS,n,n,N-N
tmcAL,rsfS,n,n,N-N
rlmH,rsfS,n,n,N-N
SPD_1559,rsfS,y,n,E-N
rsfS,SPD_0836,n,n,N-N
SPD_0837,SPD_0836,n,n,N-N
SPD_1175,SPD_1176,n,n,N-N
SPD_1175,SPD_1178,n,n,N-N
SPD_1176,SPD_1178,n,n,N-N
SPD_0938,SPD_0935,n,n,N-N
SPD_0934,SPD_0935,n,n,N-N
SPD_0931,SPD_0935,n,n,N-N
SPD_0930,SPD_0935,n,n,N-N
SPD_0938,SPD_0936,n,n,N-N
SPD_0934,SPD_0936,n,n,N-N
SPD_0931,SPD_0936,n,n,N-N
SPD_0930,SPD_0936,n,n,N-N
SPD_0935,SPD_0936,n,n,N-N
SPD_0938,SPD_1180,n,n,N-N
SPD_0934,SPD_1180,n,n,N-N
SPD_0931,SPD_1180,n,n,N-N
SPD_0930,SPD_1180,n,n,N-N
SPD_0935,SPD_1180,n,n,N-N
SPD_0936,SPD_1180,n,n,N-N
SPD_0938,SPD_1182,n,n,N-N
SPD_0934,SPD_1182,n,n,N-N
SPD_0931,SPD_1182,n,n,N-N
SPD_0930,SPD_1182,n,n,N-N
SPD_0935,SPD_1182,n,n,N-N
SPD_0936,SPD_1182,n,n,N-N
SPD_1180,SPD_1182,n,n,N-N
SPD_0934,SPD_1181,n,n,N-N
SPD_0931,SPD_1181,n,n,N-N
SPD_0930,SPD_1181,n,n,N-N
SPD_0935,SPD_1181,n,n,N-N
SPD_0936,SPD_1181,n,n,N-N
SPD_1180,SPD_1181,n,n,N-N
SPD_1182,SPD_1181,n,n,N-N
SPD_0938,SPD_1183,n,n,N-N
SPD_0934,SPD_1183,n,n,N-N
SPD_0931,SPD_1183,n,n,N-N
SPD_0930,SPD_1183,n,n,N-N
SPD_0935,SPD_1183,n,n,N-N
SPD_0936,SPD_1183,n,n,N-N
SPD_1180,SPD_1183,n,n,N-N
SPD_1185,SPD_1183,n,n,N-N
SPD_1182,SPD_1183,n,n,N-N
SPD_1181,SPD_1183,n,n,N-N
SPD_0935,SPD_1184,n,n,N-N
SPD_0936,SPD_1184,n,n,N-N
SPD_1180,SPD_1184,n,n,N-N
SPD_1185,SPD_1184,n,n,N-N
SPD_1182,SPD_1184,n,n,N-N
SPD_1181,SPD_1184,n,n,N-N
SPD_1183,SPD_1184,n,n,N-N
SPD_0921,SPD_0831,n,n,N-N
SPD_0920,SPD_0831,n,n,N-N
SPD_0919,SPD_0831,n,n,N-N
SPD_0831,SPD_0829,n,n,N-N
SPD_0818,proB,n,n,N-N
SPD_0818,rluD,n,n,N-N
proB,rluD,n,n,N-N
proB,SP_0926,n,n,N-N
rluD,SP_0926,n,n,N-N
SP_0927,SP_0926,n,n,N-N
pvaA,SPD_0905,n,n,N-N
SPD_0909,SPD_0905,n,n,N-N
lys1,nspC,n,n,N-N
spr1883,spr1886,n,n,N-N
spr1887,spr1886,n,n,N-N
patB,spr1886,n,n,N-N
GuaA,spr1886,n,n,N-N
spr1885,spr1886,n,n,N-N
spr1880,spr1886,n,n,N-N
lys1,aguA,n,n,N-N
nspC,aguA,n,n,N-N
trzA,speE,n,n,N-N
SPD_0905,speE,n,n,N-N
lys1,speE,n,n,N-N
nspC,speE,n,n,N-N
aguA,speE,n,n,N-N
aguA,cad,n,n,N-N
speE,cad,n,n,N-N
SPD_0805,SPD_0804,y,n,E-N
spr0607,spr0807,n,n,N-N
spr1768,spr0807,n,n,N-N
spr0807,spr0806,n,n,N-N
SPD_1876,dinF,n,n,N-N
SPD_1742,SPD_1741,n,n,N-N
SPD_0818,lspA,n,n,N-N
proB,lspA,n,n,N-N
rluD,lspA,n,n,N-N
SP_0926,lspA,n,n,N-N
SPD_0968,map,n,y,N-E
pepF,map,y,y,E-E
SPD_0780,SPD_0779,y,n,E-N
SPD_0780,SPD_0781,y,n,E-N
SPD_0779,SPD_0781,n,n,N-N
SPD_0780,SPD_0778,y,n,E-N
SPD_0779,SPD_0778,n,n,N-N
SPD_0781,SPD_0778,n,n,N-N
ccpA,lacR1,n,n,N-N
sufD,sufB,n,n,N-N
sufD,sufC,n,n,N-N
sufB,sufC,n,n,N-N
pmrA,coaE,n,y,N-E
mutM,coaE,n,y,N-E
era,coaE,n,y,N-E
coaE,pcp,y,n,E-N
pcp,SPD_0752,n,n,N-N
pcp,SPD_0751,n,n,N-N
SPD_0752,SPD_0751,n,n,N-N
glpF,glpO,n,n,N-N
SP_1173,glpO,n,n,N-N
SPD_2014,glpO,n,n,N-N
SPD_0741,SPD_0742,n,n,N-N
SPD_0741,SPD_0740,n,n,N-N
SPD_0742,SPD_0740,n,n,N-N
SPD_0741,SPD_0739,n,n,N-N
SPD_0742,SPD_0739,n,n,N-N
SPD_0740,SPD_0739,n,n,N-N
SPD_1900,SPD_1895,n,n,N-N
SPD_1898,SPD_1895,n,n,N-N
SPD_1767,coaD,n,y,N-E
SPD_1765,coaD,n,y,N-E
coaE,coaD,y,y,E-E
coaD,coaA,y,y,E-E
ccs4,SP_1926,n,n,N-N
SP_1926,SP_0833,n,n,N-N
SP_0832,SP_0833,n,n,N-N
SP_0834,SP_0833,n,n,N-N
SPD_0728,SPD_0727,n,n,N-N
SPD_1411,pncB,n,y,N-E
speE,SPD_1190,n,n,N-N
SP_0831,SP_0830,n,n,N-N
SPD_1291,SPD_1293,n,n,N-N
SPD_1575,SPD_1576,n,n,N-N
SPD_1574,SPD_1576,n,n,N-N
SPD_1574,rnr,n,n,N-N
tehB,rnr,n,n,N-N
SPD_1576,SPD_0715,n,n,N-N
rnr,SPD_0715,n,n,N-N
SPD_0715,SPD_0714,n,n,N-N
dtd,SPD_0708,n,n,N-N
SPD_1857,SPD_2044,n,n,N-N
SPD_1802,SPD_2044,n,n,N-N
pepF,O-methyltransferase,y,n,E-N
O-methyltransferase,SPD_0704,n,n,N-N
SPD_1256,SPD_0704,y,n,E-N
map,pepX,y,n,E-N
SPD_0786,pepX,n,n,N-N
pepX,pepO,n,n,N-N
SPD_0905,SPD_0815,n,n,N-N
lys1,SPD_0815,n,n,N-N
nspC,SPD_0815,n,n,N-N
